排名,供应商,退货率,实退数量,订单数量,退货货号数
1,闪亮达人（千百度女鞋）,3.23%,1,31,1
2,巨昊（千百度）,2.13%,1,47,1
3,莎莉波尔（伊伴女鞋）,1.92%,1,52,1
4,78小时（伊伴女鞋）,1.08%,1,93,1
5,诺曼町（千百度女鞋）,0.95%,1,105,1
6,露熙（伊伴女鞋）,0.72%,1,139,1
7,豪特（千百度女鞋）,0.61%,1,163,1
8,红仙果（千百度女鞋）,0.43%,1,235,1
9,漫语（千百度女鞋）,0.41%,1,246,1
10,多尔美（千百度女鞋）,0.41%,1,246,1
11,时家（千百度女鞋）,0.36%,2,555,2
12,巨昊鞋业（伊伴女鞋）,0.31%,2,637,2
13,敏辉（千百度女鞋）,0.29%,2,688,2
14,瓯北尚悦（千百度）,0.28%,2,715,2
15,名妡（千百度女鞋）,0.25%,1,400,1
16,阔步（千百度）,0.24%,1,425,1
17,V159（千百度女鞋）,0.23%,1,439,1
18,紫足情（千百度女鞋）,0.21%,3,1415,2
19,欧蕾妮（千百度女鞋）,0.21%,4,1945,3
20,六米（千百度女鞋）,0.20%,4,1983,2
21,蓝康（千百度女鞋）,0.19%,43,23168,4
22,秀时刻（千百度女鞋）,0.18%,1,554,1
23,瓯北皇圣（千百度）,0.18%,3,1708,3
24,十足女神（千百度女鞋）,0.16%,1,627,1
25,厉害姐姐（伊伴女鞋）,0.15%,4,2701,4
26,蒂素尚品（伊伴女鞋）,0.14%,1,735,1
27,兴朝（千百度女鞋）,0.13%,4,3038,3
28,瓯北吉加吉（千百度）,0.13%,1,765,1
29,灰度女王（千百度女鞋）,0.13%,7,5384,4
30,瑞安伯嘉（千百度）,0.13%,3,2329,1
31,友宾保罗（千百度）,0.13%,2,1579,2
32,鞋8度（千百度女鞋）,0.12%,1,808,1
33,阿依达（千百度女鞋）,0.12%,2,1653,1
34,诗妍丽（伊伴女鞋）,0.12%,2,1723,2
35,妍旭（千百度女鞋）,0.11%,33,28709,5
36,玫瑰纤紫（伊伴女鞋）,0.11%,1,914,1
37,E2E（千百度女鞋）,0.10%,1,972,1
38,步步趣（伊伴女鞋）,0.09%,1,1061,1
39,靓雅一族（千百度女鞋）,0.09%,1,1084,1
40,曼若诗（千百度女鞋）,0.08%,1,1259,1
41,晟达（千百度女鞋）,0.08%,1,1282,1
42,芮格（千百度女鞋）,0.07%,2,2701,2
43,策谷（千百度女鞋）,0.07%,2,2703,2
44,N86（千百度女鞋）,0.07%,1,1466,1
45,罗玛乔丹（千百度）,0.07%,1,1487,1
46,顺士达鞋业（千百度）,0.07%,1,1492,1
47,日记（伊伴女鞋）,0.06%,1,1540,1
48,瓯海森奈（千百度）,0.06%,1,1546,1
49,超级爱（伊伴女鞋）,0.06%,1,1628,1
50,笑果（千百度女鞋）,0.06%,1,1628,1
51,秀典（千百度女鞋）,0.06%,3,5270,3
52,靓雅一族（伊伴女鞋）,0.06%,1,1804,1
53,达芙贵人（千百度女鞋）,0.05%,1,1855,1
54,贵族前线（千百度女鞋）,0.05%,1,1890,1
55,品熙（千百度女鞋）,0.05%,1,1910,1
56,江南风（千百度女鞋）,0.05%,2,4123,2
57,木马（千百度女鞋）,0.05%,1,2073,1
58,慕可拉（伊伴女鞋）,0.04%,2,4935,2
59,陌拉（千百度女鞋）,0.04%,1,2495,1
60,江南鸟（千百度女鞋）,0.03%,2,6229,1
61,78小时（千百度女鞋）,0.03%,1,3215,1
62,舒步佳（千百度）,0.03%,1,3230,1
63,天使魅影（千百度女鞋）,0.03%,1,3417,1
64,南风公主（千百度女鞋）,0.02%,1,5233,1
65,露熙（笑脸）,,12,0,5
66,灰度女王（笑脸）,,4,0,4
67,广州昌达（笑脸）,,1,0,1
